"ensembl_gene_id" "entrezgene_id"
"380" "ENSDARG00000101654" 100034480
"381" "ENSDARG00000059781" 100329872
"382" "ENSDARG00000078227" 560393
"383" "ENSDARG00000105738" NA
"384" "ENSDARG00000041830" 334107
"385" "ENSDARG00000100747" 100330921
"386" "ENSDARG00000105657" 110439911
"387" "ENSDARG00000019969" 562140
"388" "ENSDARG00000025285" 393890
"389" "ENSDARG00000012140" 326088
"390" "ENSDARG00000021336" 561564
"391" "ENSDARG00000002394" 100415794
"392" "ENSDARG00000067925" 557645
"393" "ENSDARG00000039351" 795469
"394" "ENSDARG00000068303" 100141339
"395" "ENSDARG00000038235" 565254
"396" "ENSDARG00000100296" 565118
"397" "ENSDARG00000069817" 561929
"398" "ENSDARG00000100944" 436677
"399" "ENSDARG00000005010" 101886989
"400" "ENSDARG00000071558" 768160
"401" "ENSDARG00000105532" 570544
"402" "ENSDARG00000096990" 100004528
"403" "ENSDARG00000094646" 557602
"404" "ENSDARG00000068365" 554360
"405" "ENSDARG00000062752" 557798
"406" "ENSDARG00000016674" 100006932
"407" "ENSDARG00000009208" 334571
"408" "ENSDARG00000060564" 767694
"409" "ENSDARG00000028804" 492328
"410" "ENSDARG00000105782" 100331748
"411" "ENSDARG00000011410" 557979
"412" "ENSDARG00000011801" 503745
"413" "ENSDARG00000055874" 407979
"414" "ENSDARG00000059235" 552925
"415" "ENSDARG00000103643" 550364
"416" "ENSDARG00000096623" NA
"417" "ENSDARG00000097635" NA
"418" "ENSDARG00000028912" 565947
"419" "ENSDARG00000058379" 30316
"420" "ENSDARG00000032098" 393837
"421" "ENSDARG00000093805" NA
"422" "ENSDARG00000075629" 565583
"423" "ENSDARG00000057107" NA
"424" "ENSDARG00000040258" 100332982
"425" "ENSDARG00000037246" 100151754
"426" "ENSDARG00000116164" 436854
"427" "ENSDARG00000116164" 100124618
"428" "ENSDARG00000031600" 791149
"429" "ENSDARG00000014101" 553066
"430" "ENSDARG00000102643" 393535
"431" "ENSDARG00000062096" 768158
"432" "ENSDARG00000012944" 246275
"433" "ENSDARG00000025949" 569226
"434" "ENSDARG00000071460" 101883353
"435" "ENSDARG00000101561" 541388
"436" "ENSDARG00000071456" 100124600
"437" "ENSDARG00000015876" 559419
"438" "ENSDARG00000103589" 58076
"439" "ENSDARG00000097763" NA
"440" "ENSDARG00000044034" 541385
"441" "ENSDARG00000053101" 406810
"442" "ENSDARG00000063158" 571043
"443" "ENSDARG00000063158" 100332770
"444" "ENSDARG00000007916" 573360
"445" "ENSDARG00000063631" 497398
"446" "ENSDARG00000009922" 142987
"447" "ENSDARG00000077037" 324180
"448" "ENSDARG00000038955" NA
"449" "ENSDARG00000018004" 30696
"450" "ENSDARG00000019304" 553558
"451" "ENSDARG00000104413" 335642
"452" "ENSDARG00000004726" 323003
"453" "ENSDARG00000086620" NA
"454" "ENSDARG00000021595" 445050
"455" "ENSDARG00000002467" 334665
"456" "ENSDARG00000043004" 572032
"457" "ENSDARG00000045565" 554096
"458" "ENSDARG00000060788" 566643
"459" "ENSDARG00000078500" 559007
"460" "ENSDARG00000021195" 553212
"461" "ENSDARG00000015292" 334133
"462" "ENSDARG00000104307" 58051
"463" "ENSDARG00000008278" 402934
"464" "ENSDARG00000096039" NA
"465" "ENSDARG00000019438" 793981
"466" "ENSDARG00000096839" NA
"467" "ENSDARG00000071017" 393906
"468" "ENSDARG00000018817" 58118
"469" "ENSDARG00000095058" NA
"470" "ENSDARG00000092398" 101886778
"471" "ENSDARG00000052330" 570716
"472" "ENSDARG00000063690" 570027
"473" "ENSDARG00000061560" 100005700
"474" "ENSDARG00000099900" 100330448
"475" "ENSDARG00000096153" 100149673
"476" "ENSDARG00000043485" 553945
"477" "ENSDARG00000093485" NA
"478" "ENSDARG00000036456" 353362
"479" "ENSDARG00000101330" NA
"480" "ENSDARG00000097666" NA
"481" "ENSDARG00000008697" 566886
"482" "ENSDARG00000067848" 447879
"483" "ENSDARG00000027310" 100536902
"484" "ENSDARG00000074869" 799862
"485" "ENSDARG00000020771" 369191
"486" "ENSDARG00000045983" 557590
"487" "ENSDARG00000091609" 100331208
"488" "ENSDARG00000005078" 447850
"489" "ENSDARG00000077567" 569547
"490" "ENSDARG00000076334" 436701
"491" "ENSDARG00000030537" 336786
"492" "ENSDARG00000100087" 30499
"493" "ENSDARG00000045562" 494060
"494" "ENSDARG00000052703" 393354
"495" "ENSDARG00000071251" 570052
"496" "ENSDARG00000095945" NA
"497" "ENSDARG00000097379" NA
"498" "ENSDARG00000093272" NA
"499" "ENSDARG00000037528" 100150331
"500" "ENSDARG00000041080" 541481
"501" "ENSDARG00000044809" 406746
"502" "ENSDARG00000003090" 58121
"503" "ENSDARG00000018281" 550471
"504" "ENSDARG00000102846" 541496
