id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000021318,2625.735763,-0.276074547,2.75E-05,0.002664971
ENSDARG00000086815,412.7387271,-0.429025604,2.76E-05,0.002664971
ENSDARG00000071601,2336.817928,0.505578207,2.78E-05,0.002666038
ENSDARG00000044161,393.8588207,-0.52938866,2.79E-05,0.002666038
ENSDARG00000025522,10311.24659,0.344110702,2.81E-05,0.002677378
ENSDARG00000019417,1151.470749,0.639274747,3.09E-05,0.002932949
ENSDARG00000018478,4170.691292,0.66631266,3.18E-05,0.002997582
ENSDARG00000034916,2399.9677,-0.338321303,3.25E-05,0.003054839
ENSDARG00000069843,316.3813161,0.465915967,3.33E-05,0.003111077
ENSDARG00000024471,293.5603063,-0.521439767,3.38E-05,0.003142551
ENSDARG00000030176,1690.240297,-0.347366259,3.54E-05,0.003281478
ENSDARG00000040492,6370.314452,-0.537923978,3.56E-05,0.003281478
ENSDARG00000094156,48.3103123,-0.854520037,3.75E-05,NA
ENSDARG00000036893,2182.894792,-0.294214698,3.76E-05,0.00343999
ENSDARG00000005216,491.2216056,-0.365668519,3.76E-05,0.00343999
ENSDARG00000076011,721.2550458,0.662265607,3.79E-05,0.003444542
ENSDARG00000079307,867.7023899,0.401820225,3.88E-05,0.003511351
ENSDARG00000039100,147.2198535,0.639447825,3.96E-05,0.003571402
ENSDARG00000002204,1185.655906,-0.516915845,4.05E-05,0.003635418
ENSDARG00000083350,21.09583583,-0.862722658,4.13E-05,NA
ENSDARG00000004355,64.00923909,-0.9207814,4.20E-05,NA
ENSDARG00000045568,458.0205942,0.547154961,4.28E-05,0.003821323
ENSDARG00000011166,12414.21314,0.378629763,4.30E-05,0.003826232
ENSDARG00000018298,485.0072819,0.606530154,4.43E-05,0.003926628
ENSDARG00000013056,2022.249289,0.403403363,4.48E-05,0.003948145
ENSDARG00000021399,1111.664638,0.321131761,4.63E-05,0.004064025
ENSDARG00000079011,6612.703146,-0.403154671,4.85E-05,0.004238203
ENSDARG00000074752,2995.308413,0.36513535,4.92E-05,0.004285449
ENSDARG00000020114,948.9790719,0.571842903,4.98E-05,0.00431757
ENSDARG00000093119,1851.505433,0.409185185,5.00E-05,0.00431757
ENSDARG00000021669,18005.70075,0.436588668,5.05E-05,0.004342604
ENSDARG00000038792,545.5565421,0.631981594,5.14E-05,0.004398444
ENSDARG00000060879,758.8022924,0.689672453,5.19E-05,0.004428402
ENSDARG00000055313,133.4910172,0.775577551,5.25E-05,0.004447514
ENSDARG00000070775,2561.038795,-0.66602298,5.26E-05,0.004447514
ENSDARG00000026028,1288.890877,0.401398084,5.56E-05,0.004679384
ENSDARG00000087813,639.4785322,0.521025108,5.66E-05,0.004744694
ENSDARG00000057911,2787.91024,-0.861269546,5.72E-05,0.004776413
ENSDARG00000037857,976.4313688,0.473255738,5.80E-05,0.00482041
ENSDARG00000067520,1037.43877,-0.461891784,5.84E-05,0.004838243
ENSDARG00000092736,191.663144,0.91369916,6.02E-05,0.004962131
ENSDARG00000067741,2891.029983,0.418646374,6.18E-05,0.005080137
ENSDARG00000087216,2445.142187,0.293927694,6.35E-05,0.00519943
ENSDARG00000055240,1582.288317,0.829591361,6.40E-05,0.00521314
ENSDARG00000092787,507.9316883,-0.368955802,6.67E-05,0.005402999
ENSDARG00000002745,5820.607941,0.476807522,6.68E-05,0.005402999
ENSDARG00000078676,726.2382132,0.305321075,6.83E-05,0.005490744
ENSDARG00000027799,2062.279988,-0.35258876,6.86E-05,0.005490744
ENSDARG00000089336,4373.035976,-0.56900506,6.87E-05,0.005490744
ENSDARG00000079420,1046.632523,0.495575179,6.95E-05,0.005534643
ENSDARG00000075903,319.1949661,-0.55200465,7.00E-05,0.00554631
ENSDARG00000010255,766.853136,-0.451498172,7.12E-05,0.005601446
ENSDARG00000063345,668.97496,0.537100111,7.12E-05,0.005601446
ENSDARG00000077709,1072.129758,0.41617388,7.27E-05,0.005696719
ENSDARG00000001915,23.19441527,0.863041073,7.42E-05,NA
ENSDARG00000017744,5783.917048,-0.315530738,7.45E-05,0.005816854
ENSDARG00000014947,4574.39143,0.736771035,7.56E-05,0.005875544
ENSDARG00000017490,18959.452,0.555123741,7.71E-05,0.005974898
ENSDARG00000040301,1291.52237,-0.324506828,7.86E-05,0.006065599
ENSDARG00000074927,1005.21115,-0.387038062,8.03E-05,0.006167819
ENSDARG00000071876,257.4291912,0.630751888,8.05E-05,0.006167819
ENSDARG00000092250,957.5734022,0.792994878,8.27E-05,0.006311904
ENSDARG00000018459,2226.539797,-0.317143768,8.30E-05,0.006312742
ENSDARG00000054534,127.2606086,0.7660685,8.53E-05,0.006458273
ENSDARG00000014916,803.6835022,0.585210187,8.64E-05,0.006520825
ENSDARG00000052947,1356.521843,-0.256711615,8.73E-05,0.006567334
ENSDARG00000015566,3115.426562,-0.236143129,9.07E-05,0.006795239
ENSDARG00000004866,891.6533961,0.505799422,9.14E-05,0.006822083
ENSDARG00000036428,1755.066963,0.459872656,9.34E-05,0.006946198
ENSDARG00000054374,45.76604729,0.83053444,9.52E-05,NA
ENSDARG00000036895,780.1195229,0.615197966,9.82E-05,0.007278437
ENSDARG00000042332,5641.212658,0.729718079,9.99E-05,0.007376093
ENSDARG00000028396,9305.92796,0.829408774,0.000100447,0.007381893
ENSDARG00000096433,770.1139848,-0.371428687,0.00010072,0.007381893
ENSDARG00000019949,3474.443911,0.411166265,0.000102607,0.007493223
ENSDARG00000012499,1198.686262,0.389084302,0.000106181,0.007726544
ENSDARG00000013222,528.690732,-0.464693024,0.00010706,0.007749256
ENSDARG00000095304,360.5253134,0.768961114,0.000107254,0.007749256
ENSDARG00000014943,2750.07029,-0.389392107,0.000109674,0.007887079
ENSDARG00000069261,771.7490319,-0.457349309,0.000109935,0.007887079
ENSDARG00000016793,14804.37127,0.329313902,0.000113114,0.008086645
ENSDARG00000077177,1117.572501,0.295086311,0.000116564,0.008294104
ENSDARG00000019420,6293.288704,0.373588044,0.00011683,0.008294104
ENSDARG00000045627,12129.11918,0.727216262,0.000120189,0.008502969
ENSDARG00000003016,150535.1802,0.261444875,0.000121535,0.008545492
ENSDARG00000059529,762.2981988,0.719275383,0.000121629,0.008545492
ENSDARG00000014433,15586.9919,-0.285156768,0.000122293,0.008555051
ENSDARG00000032324,1206.987751,0.265813231,0.000122605,0.008555051
ENSDARG00000039116,997.8733546,0.613047439,0.00012306,0.008557523
ENSDARG00000004930,4070.989111,0.562515159,0.000123584,0.008564718
ENSDARG00000061928,1631.128104,-0.350779844,0.000124481,0.008597613
ENSDARG00000005485,487.5558854,0.480796768,0.000125781,0.008656999
ENSDARG00000058476,164.0991126,-0.865550288,0.00012619,0.008656999
ENSDARG00000051887,2626.882147,0.343209587,0.000126834,0.008671955
ENSDARG00000055539,7593.271819,0.411785823,0.00012773,0.00870402
ENSDARG00000025375,10801.26406,-0.516911838,0.000128319,0.008708516
ENSDARG00000020076,1586.326178,0.288977324,0.000128651,0.008708516
ENSDARG00000059836,2245.091278,0.533988921,0.000131119,0.0088462
ENSDARG00000016651,13841.39526,-0.386453108,0.0001325,0.00890989
ENSDARG00000031278,121.4800838,0.663668765,0.000133704,0.008961217
ENSDARG00000089369,2493.447033,-0.541191642,0.000135686,0.009027667
ENSDARG00000075017,765.3427225,0.45655981,0.000135984,0.009027667
ENSDARG00000038025,195.2703499,0.690398812,0.000136024,0.009027667
ENSDARG00000096073,1009.058645,0.330866028,0.000137723,0.00911075
ENSDARG00000026829,13951.39712,-0.273623094,0.000138868,0.009156777
ENSDARG00000090785,1035.562275,-0.389531915,0.000139932,0.009197165
ENSDARG00000009208,1745.850697,-0.255527192,0.000144342,0.009456477
ENSDARG00000005251,1345.862019,-0.425492373,0.000147783,0.009650915
ENSDARG00000016200,2530.416579,0.32171712,0.000151894,0.009887695
ENSDARG00000055991,1784.424577,0.470367717,0.000152502,0.009895651
ENSDARG00000068680,27147.86439,0.48135849,0.000155135,0.010034523
ENSDARG00000022399,2726.504126,-0.716405393,0.000156521,0.010074983
ENSDARG00000096060,202.258008,-0.84489155,0.000156749,0.010074983
ENSDARG00000033160,308.6202953,0.683940143,0.000158808,0.010175174
ENSDARG00000091027,64.79786983,-0.69327364,0.000160183,NA
ENSDARG00000014031,2462.437765,0.612380735,0.000163034,0.010413232
ENSDARG00000058820,1713.640206,-0.291117204,0.000164082,0.010447431
ENSDARG00000092649,6460.34523,-0.383777313,0.000167285,0.010592717
ENSDARG00000075016,7021.448781,-0.761309154,0.000167404,0.010592717
ENSDARG00000016867,2654.292834,0.386652481,0.000174692,0.011019633
ENSDARG00000007576,11939.58045,0.31351813,0.00017542,0.011031399
ENSDARG00000009477,188.1023271,-0.665555932,0.000177463,0.011108348
ENSDARG00000071694,1680.925282,-0.350868651,0.000177734,0.011108348
ENSDARG00000079092,1271.157844,0.39700086,0.00017912,0.011160185
ENSDARG00000096365,1426.015462,0.57855451,0.000179658,0.011160185
ENSDARG00000091434,276.4939561,0.533416521,0.000180754,0.011194095
ENSDARG00000058108,3172.359066,0.309073364,0.000184972,0.011420609
ENSDARG00000093488,521.1544278,0.414960861,0.000188003,0.011572723
ENSDARG00000017775,9428.188645,-0.399613105,0.000191212,0.011734746
ENSDARG00000031678,60322.56227,-0.215794709,0.000193211,0.011821825
ENSDARG00000092391,18.319921,-0.838530149,0.000193535,NA
ENSDARG00000008434,1115.202008,0.261896708,0.000195713,0.011939069
ENSDARG00000019128,2473.236035,-0.281960609,0.000196917,0.011966123
ENSDARG00000037425,2311.945828,0.481610311,0.000197331,0.011966123
ENSDARG00000074712,1889.556029,0.617119659,0.000198153,0.01196772
ENSDARG00000033443,1592.84971,0.338977467,0.000199529,0.01196772
ENSDARG00000019222,1053.042884,-0.403589287,0.000199618,0.01196772
ENSDARG00000045889,432.3434844,0.468812937,0.000199707,0.01196772
ENSDARG00000071216,445.4045789,0.840273099,0.000202666,0.01210944
ENSDARG00000079146,2815.7856,0.383412102,0.000204401,0.012163296
ENSDARG00000006983,734.5180921,0.447061918,0.000204761,0.012163296
